Question,Answer
What is Artificial Intelligence?,Artificial Intelligence is the simulation of human intelligence by machines.
How do I reset my password?,Click on the Forgot Password option and follow the instructions.
How can I contact support?,You can contact support via email at support@example.com.
What are your working hours?,Our working hours are 9 AM to 6 PM Monday to Friday.
Where is your office located?,Our office is located in Mumbai India.
How can I create an account?,Click on Sign Up and complete the registration form.
Do you offer internships?,Yes we offer internships in multiple domains.
How can I update my profile?,Login and navigate to Profile Settings.

Question,Answer
"What is your return policy?","You can return any item within 30 days of purchase for a full refund. Items must be unused and in their original packaging."
"How do I track my order?","Once your company ships your order, we will send you an email with a tracking link. You can also track it from your account dashboard."
"Do you ship internationally?","Yes, we ship to over 50 countries worldwide! International shipping fees and delivery times vary depending on the destination."
"What payment methods do you accept?","We accept all major credit cards (Visa, Mastercard, American Express), PayPal, Apple Pay, and Google Pay."
"Can I change or cancel my order?","You can modify or cancel your order within 30 minutes of placing it by going to your 'Order History' page."
"Is my personal information secure?","Absolutely. We use industry-standard SSL encryption to protect your data and never share your information with third parties."